Hindi,English
उन्नति,advancement
मुझको,me
कवायद,Drill
पेमेंट,Payment
जीवों,Organisms
महर्षि,Maharishi
गेंदबाजों,Bowling
आक्रामक,Aggressive
विद्वानों,Scholars
फ्रंट,Front
बौद्धिक,Intellectual
देखेंगे,will see
पवार,Pawar
बखूबी,Well
पकड़कर,Clutching
पत्रिकाओं,Journals
क्षतिग्रस्त,Damaged
शिकायतों,Complaints
जानकार,Cognizant
चित्रण,Illustration
अपराधों,Crimes
हिन्दुओं,Hindus
प्रेमचंद,Premchand
अंकुश,Prod
ख़ान,Khan
डेंगू,Dengue
नींव,Foundations
ओमप्रकाश,Om Prakash
अपितु,But
धोखाधड़ी,Fraud
जनाब,Sir
धमाके,Bang
निरीक्षक,Inspector
प्रवासी,Migrant
पक्का,sure
तिब्बत,Tibet
दांत,Teeth
जौहर,Johar
भरकर,Fill
महोदय,Sir
पश्चात्,After
अध्यापकों,Teachers
चाहेंगे,Would
अकाली,SAD
रासायनिक,Chemical
मोती,Pearl
उपरांत,After
गरिमा,Dignity
इस्लामाबाद,Islamabad
गम,Gum
काटकर,Undercut
संग्राम,Struggle
बोस,boss
लैस,Needlepoint
सफ़र,journey
यूजर,User
सेल्फी,Selfi
नौसेना,Navy
वाणिज्य,Commercial
बेंगलुरु,Bangalore
मदन,Madan
झेल,Withstood
पाइप,Pipe
विवि,University
लोकल,Local
उतारने,Unloading
असंभव,Impossible
लता,Creeper
स्पोर्ट्स,Sports
पहुँचने,Access
पैन,Pan
समुचित,Proper
सन्देश,Message
गैंग,Gang
प्लस,Plus
बहाना,excuse
तैनाती,Deployment
बताकर,Calling
रोष,Fury
पीटा,Beaten
स्टेशनों,Stations
दीवारों,Walls
कानूनों,Laws
मामा,Maternal uncle
ताज,Crown
भारद्वाज,Bhardwaj
अंदाज़,style
निर्णायक,Breakthrough
हिंदुओं,Hindus
घेर,Surrounded
लॉ,Law
चंदन,Sandalwood
सियासत,politics
बरसों,Years
वापिस,Return
रेड्डी,Reddy
विलय,Fusion
पीस,Grinding
मस्त,Easy Going
उम्दा,Plush
कहने,Say
प्रश्न,questions
पड़े,Lying
जिंदगी,life
मनुष्य,humans
अथवा,Or
अंक,numbers
मजबूत,strong
हजारों,Thousands
मौसम,weather
जरिए,Through
राष्ट्र,Nation
विजय,victory
तैयारी,Preparations
न्यायालय,Court
भूमि,Earth
वर्षों,Years
अचानक,suddenly
विदेशी,foreigner
पुरस्कार,Award
वन,Forest
सामना,Face
संघर्ष,struggle
जाति,Cast
आकर,Coming
कब,When
लोक,Region
केन्द्र,Center
खड़ा,Stand
वीं,Th
काल,period
मात्र,Only
उठा,picking
नीति,Policy
समूह,group
भोजन,food
रखी,Laid
सहायता,help
विज्ञान,Science
पैसा,Money
पड़ी,Was
अंत,the ending
फोटो,Photo
हालत,condition
मात्रा,Quantity
परिषद,Council
खाना,food
ट्रेन,train
समाप्त,End
गुरु,Master
बनाकर,By
बजट,Budget
कार्ड,Card
उत्पादन,production
सजा,Punishment
पुरुष,male
आवश्यक,Required
प्रस्तुत,Submitted
जन,people
समाचार,news
उनमें,In those
हरियाणा,Haryana
परिणाम,result
दूध,Milk
कर्मचारी,Staff
फिल्मों,Movies
मुद्दे,Issues
दोपहर,afternoon
क्षमता,Capacity
देंगे,Will
करेगी,Will
भवन,Building
उपस्थित,Present
डॉक्टर,doctor
भले,Even
फैसले,Decisions
सूत्रों,Sources
सदस्यों,Members
चेहरे,Facial
विवाह,marriage
समान,same
आवेदन,application
जैन,Jain
हाथों,Hands
संभव,possible
संवाददाता,Reporter
अक्सर,often
प्रधान,Prime
सोशल,SOCIAL
वोट,Vote
मामलों,Cases
रेल,rail
हार,Defeat
नोट,note
फरवरी,February
कितने,How many
आवश्यकता,requirement
लेखक,Author
हटाने,Removal
रखकर,By
खो,Lost
पेट्रोल,petrol
नियुक्त,Appointed
आपूर्ति,Supply
अन्दर,Inside
विधान,Legislation
कायम,to last
सफर,Travel
आउट,Out
सिनेमा,Cinema
संस्कार,sacraments
दर्शकों,Viewers
दुख,Misery
कपिल,Kapil
सकारात्मक,Affirmative
बिलकुल,Absolutely
परंपरा,Tradition
यात्री,Passenger
ट्विटर,Twitter
संग्रह,collection
चेतावनी,Warning
स्टेट,state
कैसा,What
जरा,just
करियर,Careers
चौक,Square
संदर्भ,References
रानी,Queen
जीतने,Win
ला,LA
अमिताभ,Amitabh
किलो,Kilo
प्रभु,Lord
रकम,Amount
निकालने,Extract
किंतु,But
समक्ष,Before
जरिये,Through
अरुण,Arun
वातावरण,atmosphere
पहुँच,Access
अतः,"Therefore,"
कंप्यूटर,computer
उतर,Down
खबरों,Reports
रवाना,Depart
बनाते,Make
ट्रंप,Trump
महासचिव,General Secretary
दौड़,Race
जिक्र,Reference
नष्ट,Destroyed
सुरेश,Suresh
मारने,Kill
निकले,Out
गत,Last
दिखाने,Show
बीमा,Insurance
बलात्कार,rape
कहे,saying
रांची,Ranchi
रुप,Featured
पर्व,Festival
अफ्रीका,Africa
जायेंगे,will
उपन्यास,Fiction
विद्युत,Power
उत्पाद,Product
नाटक,drama
शूटिंग,Shooting
देखिए,Look
एशिया,Asia
डेढ़,One and a half
माल,goods
पंडित,Pundit
प्रो,Pro
कलाकार,Artist
प्रेरित,Inspire
अधिनियम,Act
गाय,cattle
आयुक्त,Commissioner
पुल,Bridge
खबरें,News
बनता,Getting
गूगल,Google
पूर्वी,Eastern
बच,Escape
हित,Interest
पर्यटन,Tourism
प्रत्याशी,Candidate
हैदराबाद,Hyderabad
प्रकट,Revealed
हड़ताल,Strike
मिश्र,Alloys
शख्स,Man
आपसे,You
आयु,Age
प्राथमिक,Elementary
झा,Jha
जोड़ने,Adding
नोएडा,Noida
पंकज,Pankaj
ड्यूटी,Duty
किरण,beam
नायक,hero
उदयपुर,Udaipur
अपमान,Insult
वरना,else
पोस्टर,the posters
फैशन,Fashion
पकड़े,Caught
वीर,Brave
पहाड़,the mountain
प्रसन्न,Glad
चीज़,thing
सौंप,Submitted
बिग,Big
प्रस्तावित,as proposed
जोड़ा,Couple
श्रेष्ठ,Best
तरफ़,Side
इंटरनेशनल,International
कराना,To
स्रोत,Source
शुक्ला,Shukla
पाल,Sail
होम,home
करेंगी,Will
कंट्रोल,Control
सेवाएं,Services
वायु,Wind
भूकंप,Earthquake
श्रीनगर,Srinagar
आंकड़े,Statistics
संवेदनशील,Sensitive
मजबूती,Firmly
हिंदुस्तान,India
जाएंगी,Will
प्रदीप,Pradeep
PM,Funds
परिजन,relatives
पश्चात,After
भागीदारी,Partnerships
एक्ट,Act
हकीकत,reality
अंतरिक्ष,Space
अनुकूल,Favorable
प्रशंसा,appreciation
बॉक्स,Box
नाक,Nose
चैनलों,Channels
रावण,Ravana
जानिए,Learn
ब्रांड,Brands
उपयोगी,Helpful
अद्भुत,wonderful
निम्न,Following
संग,with
दीपिका,Deepika
रिलायंस,reliance
पेपर,Paper
कराए,MADE
रोचक,Interesting
उठाकर,Up
सुविधाएं,Facilities
स्क्रीन,Screen
खनन,Mining
इंजीनियरिंग,Engineering
क्षण,Moment
साइट,Site
भैया,Brother
उपभोक्ताओं,Consumers
शिमला,Shimla
जिलाधिकारी,DM
डाक्टर,Doctor
उठता,Raises
सांसदों,MPs
कोर्स,Course
बताए,Informing
राजेंद्र,Rajendra
लड़,Fighting
नजदीक,Close
उपकरण,equipment
नामांकन,Nominations
अपराधी,Criminal
पाये,Are
अखिल,Akhil
मानें,Treat
मुझ,Me
विटामिन,Vitamin
वार्षिक,Annual
चांदी,silver
जनसंख्या,Population
मस्तिष्क,Brain
आडवाणी,Advani
शुक्ल,Shukla
जिंदा,Alive
युक्त,Containing
लोकतांत्रिक,Democratic
भार,burden
सेन,Sen
आचरण,the manner
पं,Pt
एफ,F
करीना,Kareena
पैसों,Money
एकजुट,United
दरों,Rates
परिस्थिति,Situation
